Name,Name,Function
area_effect_cloud,area_effect_cloud,ConvertAreaEffectCloud
armor_stand,armor_stand,ConvertArmorStand
arrow,arrow,ConvertArrow
axolotl,axolotl,ConvertAxolotl
bat,bat,ConvertBat
bee,bee,ConvertBee
blaze,blaze,ConvertBlaze
boat,boat,ConvertBoat
cat,cat,ConvertCat
cave_spider,cave_spider,ConvertCaveSpider
chest_minecart,chest_minecart,ConvertMinecartChest
chicken,chicken,ConvertChicken
cod,cod,ConvertCod
command_block_minecart,command_block_minecart,ConvertMinecartCommandBlock
cow,cow,ConvertCow
creeper,creeper,ConvertCreeper
dolphin,dolphin,ConvertDolphin
donkey,donkey,ConvertDonkey
dragon_fireball,dragon_fireball,ConvertDragonFireball
drowned,drowned,ConvertDrowned
egg,egg,ConvertEgg
elder_guardian,elder_guardian,ConvertElderGuardian
ender_crystal,end_crystal,ConvertEnderCrystal
ender_pearl,ender_pearl,ConvertEnderPearl
enderman,enderman,ConvertEnderman
endermite,endermite,ConvertEndermite
evocation_fangs,evoker_fangs,ConvertEvokerFangs
evocation_illager,evoker,ConvertEvoker
eye_of_ender_signal,eye_of_ender_signal,ConvertEyeOfEnder
falling_block,falling_block,ConvertFallingBlock
fireball,fireball,ConvertFireball
fireworks_rocket,firework_rocket,ConvertFireworkRocket
fox,fox,ConvertFox
ghast,ghast,ConvertGhast
glow_squid,glow_squid,ConvertGlowSquid
goat,goat,ConvertGoat
guardian,guardian,ConvertGuardian
hoglin,hoglin,ConvertHoglin
hopper_minecart,hopper_minecart,ConvertMinecartHopper
horse,horse,ConvertHorse
husk,husk,ConvertHusk
iron_golem,iron_golem,ConvertIronGolem
item,item,ConvertItemDrop
lingering_potion,potion,ConvertPotionLingering
llama,llama,ConvertLlama
magma_cube,magma_cube,ConvertMagmaCube
minecart,minecart,ConvertMinecart
mooshroom,mooshroom,ConvertMooshroom
mule,mule,ConvertMule
ocelot,ocelot,ConvertOcelot
painting,painting,ConvertPainting
panda,panda,ConvertPanda
parrot,parrot,ConvertParrot
phantom,phantom,ConvertPhantom
pig,pig,ConvertPig
piglin,piglin,ConvertPiglin
pillager,pillager,ConvertPillager
polar_bear,polar_bear,ConvertPolarBear
pufferfish,pufferfish,ConvertPufferfish
rabbit,rabbit,ConvertRabbit
ravager,ravager,ConvertRavager
salmon,salmon,ConvertSalmon
sheep,sheep,ConvertSheep
shulker,shulker,ConvertShulker
silverfish,silverfish,ConvertSilverfish
skeleton,skeleton,ConvertSkeleton
skeleton_horse,skeleton_horse,ConvertSkeletonHorse
slime,slime,ConvertSlime
small_fireball,small_fireball,ConvertSmallFireball
snow_golem,snow_golem,ConvertSnowman
snowball,snowball,ConvertSnowball
snowman,snow_golem,ConvertSnowman
spider,spider,ConvertSpider
splash_potion,potion,ConvertPotionSplash
squid,squid,ConvertSquid
stray,stray,ConvertStray
strider,strider,ConvertStrider
thrown_trident,trident,ConvertTrident
tnt,tnt,ConvertTNT
tnt_minecart,tnt_minecart,ConvertMinecartTNT
tropicalfish,tropical_fish,ConvertTropicalFish
turtle,turtle,ConvertTurtle
vex,vex,ConvertVex
villager,villager,ConvertVillager
villager_v2,villager,ConvertVillagerV2
vindicator,vindicator,ConvertVindicator
wandering_trader,wandering_trader,ConvertWanderingTrader
witch,witch,ConvertWitch
wither,wither,ConvertWither
wither_skeleton,wither_skeleton,ConvertWitherSkeleton
wither_skull,wither_skull,ConvertWitherSkull
wolf,wolf,ConvertWolf
xp_bottle,experience_bottle,ConvertBottleOEnchanting
xp_orb,experience_orb,ConvertExperienceOrb
zoglin,zoglin,ConvertZoglin
zombie,zombie,ConvertZombie
zombie_horse,zombie_horse,ConvertZombieHorse
zombie_pigman,zombified_piglin,ConvertZombiePigman
zombie_villager,zombie_villager,ConvertZombieVillager
zombie_villager_v2,zombie_villager,ConvertZombieVillagerV2
