Name,Name,Function
AreaEffectCloud,area_effect_cloud,ConvertAreaEffectCloud
ArmorStand,armor_stand,ConvertArmorStand
Arrow,arrow,ConvertArrow
Bat,bat,ConvertBat
Blaze,blaze,ConvertBlaze
Boat,boat,ConvertBoat
CaveSpider,cave_spider,ConvertCaveSpider
Chicken,chicken,ConvertChicken
Cow,cow,ConvertCow
Creeper,creeper,ConvertCreeper
DragonFireball,dragon_fireball,ConvertDragonFireball
EnderCrystal,end_crystal,ConvertEnderCrystal
Enderman,enderman,ConvertEnderman
Endermite,endermite,ConvertEndermite
EntityHorse,horse,ConvertHorse
EyeOfEnderSignal,eye_of_ender_signal,ConvertEyeOfEnder
FallingSand,falling_block,ConvertFallingBlock
Fireball,fireball,ConvertFireball
FireworksRocketEntity,firework_rocket,ConvertFireworkRocket
Ghast,ghast,ConvertGhast
Giant,giant,ConvertGiant
Guardian,guardian,ConvertGuardian
Item,item,ConvertItemDrop
ItemFrame,item_frame,ConvertItemFrame
LavaSlime,magma_cube,ConvertMagmaCube
Minecart,minecart,ConvertMinecart
MinecartChest,chest_minecart,ConvertMinecartChest
MinecartFurnace,furnace_minecart,ConvertMinecartFurnace
MinecartHopper,hopper_minecart,ConvertMinecartHopper
MinecartRideable,minecart,ConvertMinecart
MinecartSpawner,spawner_minecart,ConvertMinecartSpawner
MinecartTNT,tnt_minecart,ConvertMinecartTNT
MushroomCow,mooshroom,ConvertMooshroom
Ozelot,ocelot,ConvertOcelot
Painting,painting,ConvertPainting
Pig,pig,ConvertPig
PigZombie,zombie_pigman,ConvertZombiePigman
PrimedTnt,tnt,ConvertTNT
Rabbit,rabbit,ConvertRabbit
Sheep,sheep,ConvertSheep
Silverfish,silverfish,ConvertSilverfish
Skeleton,skeleton,ConvertSkeleton
Slime,slime,ConvertSlime
SmallFireball,small_fireball,ConvertSmallFireball
SnowMan,snow_golem,ConvertSnowman
Snowball,snowball,ConvertSnowball
Spider,spider,ConvertSpider
Squid,squid,ConvertSquid
ThrownEgg,egg,ConvertEgg
ThrownEnderpearl,ender_pearl,ConvertEnderPearl
ThrownExpBottle,experience_bottle,ConvertBottleOEnchanting
ThrownPotion,potion,ConvertPotion
Villager,villager,ConvertVillager
VillagerGolem,iron_golem,ConvertIronGolem
Witch,witch,ConvertWitch
Wither,wither,ConvertWither
WitherBoss,wither,ConvertWither
WitherSkull,wither_skull,ConvertWitherSkull
Wolf,wolf,ConvertWolf
XPOrb,experience_orb,ConvertExperienceOrb
Zombie,zombie,ConvertZombie
area_effect_cloud,area_effect_cloud,ConvertAreaEffectCloud
armor_stand,armor_stand,ConvertArmorStand
arrow,arrow,ConvertArrow
bat,bat,ConvertBat
blaze,blaze,ConvertBlaze
boat,boat,ConvertBoat
cave_spider,cave_spider,ConvertCaveSpider
chest_minecart,chest_minecart,ConvertMinecartChest
chicken,chicken,ConvertChicken
cow,cow,ConvertCow
creeper,creeper,ConvertCreeper
dolphin,dolphin,ConvertDolphin
donkey,donkey,ConvertDonkey
dragon_fireball,dragon_fireball,ConvertDragonFireball
drowned,drowned,ConvertDrowned
egg,egg,ConvertEgg
elder_guardian,elder_guardian,ConvertElderGuardian
ender_crystal,end_crystal,ConvertEnderCrystal
ender_pearl,ender_pearl,ConvertEnderPearl
enderman,enderman,ConvertEnderman
endermite,endermite,ConvertEndermite
evocation_fangs,evoker_fangs,ConvertEvokerFangs
evocaton_illager,evoker,ConvertEvoker
eye_of_ender_signal,eye_of_ender_signal,ConvertEyeOfEnder
falling_block,falling_block,ConvertFallingBlock
fireball,fireball,ConvertFireball
fireworks_rocket,firework_rocket,ConvertFireworkRocket
fish,cod,ConvertCod
furnace_minecart,furnace_minecart,ConvertMinecartFurnace
ghast,ghast,ConvertGhast
giant,giant,ConvertGiant
guardian,guardian,ConvertGuardian
hopper_minecart,hopper_minecart,ConvertMinecartHopper
horse,horse,ConvertHorse
husk,husk,ConvertHusk
item,item,ConvertItemDrop
item_frame,item_frame,ConvertItemFrame
llama,llama,ConvertLlama
magma_cube,magma_cube,ConvertMagmaCube
minecart,minecart,ConvertMinecart
mooshroom,mooshroom,ConvertMooshroom
mule,mule,ConvertMule
ocelot,ocelot,ConvertOcelot
painting,painting,ConvertPainting
parrot,parrot,ConvertParrot
phantom,phantom,ConvertPhantom
pig,pig,ConvertPig
polar_bear,polar_bear,ConvertPolarBear
potion,potion,ConvertPotion
pufferfish,pufferfish,ConvertPufferfish
rabbit,rabbit,ConvertRabbit
salmon,salmon,ConvertSalmon
sheep,sheep,ConvertSheep
shulker,shulker,ConvertShulker
silverfish,silverfish,ConvertSilverfish
skeleton,skeleton,ConvertSkeleton
slime,slime,ConvertSlime
small_fireball,small_fireball,ConvertSmallFireball
snowball,snowball,ConvertSnowball
snowman,snow_golem,ConvertSnowman
spawner_minecart,spawner_minecart,ConvertMinecartSpawner
spider,spider,ConvertSpider
squid,squid,ConvertSquid
stray,stray,ConvertStray
tnt,tnt,ConvertTNT
tnt_minecart,tnt_minecart,ConvertMinecartTNT
trident,trident,ConvertTrident
tropicalfish,tropical_fish,ConvertTropicalFish
turtle,turtle,ConvertTurtle
vex,vex,ConvertVex
villager,villager,ConvertVillager
villager_golem,iron_golem,ConvertIronGolem
vindication_illager,vindicator,ConvertVindicator
witch,witch,ConvertWitch
wither,wither,ConvertWither
wither_skeleton,wither_skeleton,ConvertWitherSkeleton
wither_skull,wither_skull,ConvertWitherSkull
wolf,wolf,ConvertWolf
xp_bottle,experience_bottle,ConvertBottleOEnchanting
xp_orb,experience_orb,ConvertExperienceOrb
zombie,zombie,ConvertZombie
zombie_horse,zombie_horse,ConvertZombieHorse
zombie_pigman,zombie_pigman,ConvertZombiePigman
zombie_villager,zombie_villager,ConvertZombieVillager
